2023-10-20 00:43:13,690 INFO  StartupInfoLogger:51 - [] Starting ProgInzCourseProject2023Application using Java 17.0.6 with PID 16548 (F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023\target\classes started by User in F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023)
2023-10-20 00:43:13,695 INFO  SpringApplication:633 - [] No active profile set, falling back to 1 default profile: "default"
2023-10-20 00:43:14,185 INFO  RepositoryConfigurationDelegate:138 - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-20 00:43:14,246 INFO  RepositoryConfigurationDelegate:208 - [] Finished Spring Data repository scanning in 50 ms. Found 13 JPA repository interfaces.
2023-10-20 00:43:14,646 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 7777 (http)
2023-10-20 00:43:14,654 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2023-10-20 00:43:14,654 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-10-20 00:43:14,728 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2023-10-20 00:43:14,728 INFO  ServletWebServerApplicationContext:291 - [] Root WebApplicationContext: initialization completed in 999 ms
2023-10-20 00:43:14,836 INFO  LogHelper:31 - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-20 00:43:14,875 INFO  Version:44 - [] HHH000412: Hibernate ORM core version 6.2.2.Final
2023-10-20 00:43:14,877 INFO  Environment:191 - [] HHH000406: Using bytecode reflection optimizer
2023-10-20 00:43:14,981 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:43:15,074 INFO  SpringPersistenceUnitInfo:87 - [] No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-20 00:43:15,091 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2023-10-20 00:43:15,094 WARN  DriverDataSource:70 - [] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-10-20 00:43:15,191 INFO  HikariPool:565 - [] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@46702c26
2023-10-20 00:43:15,193 INFO  HikariDataSource:123 - [] HikariPool-1 - Start completed.
2023-10-20 00:43:15,235 INFO  DialectFactoryImpl:93 - [] HHH035001: Using dialect: org.hibernate.dialect.MySQLDialect, version: 5.7
2023-10-20 00:43:15,395 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.AcademicPersonel
2023-10-20 00:43:15,402 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.Student
2023-10-20 00:43:15,462 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:43:16,159 INFO  JtaPlatformInitiator:51 - [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-20 00:43:16,382 INFO  AbstractEntityManagerFactoryBean:437 - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 00:43:16,673 WARN  JpaBaseConfiguration$JpaWebConfiguration:231 - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-20 00:43:16,911 INFO  DefaultSecurityFilterChain:54 - [] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@24facb47, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6020cd42, org.springframework.security.web.context.SecurityContextHolderFilter@409df37d, org.springframework.security.web.header.HeaderWriterFilter@5257123d, org.springframework.security.web.csrf.CsrfFilter@49d5c751, org.springframework.security.web.authentication.logout.LogoutFilter@74ec4df3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4a9d6eb9, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@33fc92d6, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2b68c59b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e818345, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3d9c69f8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@326d39fd, org.springframework.security.web.access.ExceptionTranslationFilter@75c095a5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@64faf3d]
2023-10-20 00:43:16,917 WARN  WebSecurity:289 - [] You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-10-20 00:43:16,917 INFO  DefaultSecurityFilterChain:51 - [] Will not secure Ant [pattern='/h2-console/**']
2023-10-20 00:43:17,123 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 7777 (http) with context path ''
2023-10-20 00:43:17,131 INFO  StartupInfoLogger:57 - [] Started ProgInzCourseProject2023Application in 3.746 seconds (process running for 4.243)
2023-10-20 00:43:23,919 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-10-20 00:43:23,919 INFO  FrameworkServlet:532 - [] Initializing Servlet 'dispatcherServlet'
2023-10-20 00:43:23,921 INFO  FrameworkServlet:554 - [] Completed initialization in 2 ms
2023-10-20 00:43:32,102 DEBUG StudentController:55 - [] Method: showAwailableThesis
2023-10-20 00:43:34,331 DEBUG StudentController:73 - [] Method: showThesisInformation
2023-10-20 00:43:35,843 DEBUG StudentController:90 - [] Method: addNewApplication
2023-10-20 00:43:44,843 WARN  AbstractHandlerExceptionResolver:207 - [] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String lv.venta.controllers.StudentController.addNewThesisApplication(lv.venta.models.ThesisApplication,long,org.springframework.validation.BindingResult,org.springframework.ui.Model) throws java.lang.Exception: [Field error in object 'thesisApplication' on field 'student': rejected value [null]; codes [NotNull.thesisApplication.student,NotNull.student,NotNull.lv.venta.models.users.Student,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [thesisApplication.student,student]; arguments []; default message [student]]; default message [must not be null]] ]
2023-10-20 00:49:59,696 INFO  SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:159 - [] Application shutdown requested.
2023-10-20 00:49:59,708 INFO  DirectJDKLog:173 - [] Stopping service [Tomcat]
2023-10-20 00:49:59,710 INFO  DirectJDKLog:173 - [] Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-10-20 00:49:59,718 INFO  AbstractEntityManagerFactoryBean:650 - [] Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 00:49:59,720 INFO  HikariDataSource:350 - [] HikariPool-1 - Shutdown initiated...
2023-10-20 00:49:59,730 INFO  HikariDataSource:352 - [] HikariPool-1 - Shutdown completed.
2023-10-20 00:50:01,475 INFO  StartupInfoLogger:51 - [] Starting ProgInzCourseProject2023Application using Java 17.0.6 with PID 13364 (F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023\target\classes started by User in F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023)
2023-10-20 00:50:01,478 INFO  SpringApplication:633 - [] No active profile set, falling back to 1 default profile: "default"
2023-10-20 00:50:01,991 INFO  RepositoryConfigurationDelegate:138 - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-20 00:50:02,054 INFO  RepositoryConfigurationDelegate:208 - [] Finished Spring Data repository scanning in 56 ms. Found 13 JPA repository interfaces.
2023-10-20 00:50:02,520 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 7777 (http)
2023-10-20 00:50:02,528 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2023-10-20 00:50:02,529 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-10-20 00:50:02,606 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2023-10-20 00:50:02,607 INFO  ServletWebServerApplicationContext:291 - [] Root WebApplicationContext: initialization completed in 1094 ms
2023-10-20 00:50:02,726 INFO  LogHelper:31 - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-20 00:50:02,767 INFO  Version:44 - [] HHH000412: Hibernate ORM core version 6.2.2.Final
2023-10-20 00:50:02,768 INFO  Environment:191 - [] HHH000406: Using bytecode reflection optimizer
2023-10-20 00:50:02,872 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:50:02,972 INFO  SpringPersistenceUnitInfo:87 - [] No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-20 00:50:02,988 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2023-10-20 00:50:02,991 WARN  DriverDataSource:70 - [] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-10-20 00:50:03,090 INFO  HikariPool:565 - [] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@270f28cf
